timestamp,userId,location,device,loginStatus,ipAddress
2026-02-15T08:21:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-15T09:10:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-15T14:02:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-16T07:45:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-16T12:30:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-17T08:15:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-17T22:56:00Z,user_001,London,Windows Laptop,failure,18.31.19.8
2026-02-18T07:03:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-18T09:22:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-19T00:12:00Z,user_001,New York,Unknown Browser,success,72.11.5.46
2026-02-19T00:20:00Z,user_001,New York,Unknown Browser,failure,72.11.5.46
2026-02-19T00:29:00Z,user_001,New York,Unknown Browser,success,72.11.5.46
2026-02-19T01:45:00Z,user_001,New York,Unknown Browser,success,72.11.5.46
2026-02-19T08:10:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-20T07:50:00Z,user_001,London,Windows Laptop,success,18.31.19.8
2026-02-15T07:45:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-15T08:16:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-16T07:54:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-16T12:33:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-17T08:00:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-18T01:08:00Z,user_002,Dubai,iOS Phone,failure,93.186.19.10
2026-02-18T01:19:00Z,user_002,Dubai,iOS Phone,success,93.186.19.10
2026-02-18T06:02:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-19T07:30:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-20T07:45:00Z,user_002,Mumbai,Android Phone,success,49.32.111.20
2026-02-20T18:22:00Z,user_002,Singapore,MacBook,success,103.23.77.50
2026-02-15T09:35:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-15T10:02:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-16T09:00:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-16T10:15:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-17T09:44:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-17T10:08:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-18T09:39:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-18T10:08:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-18T10:26:00Z,user_003,Singapore,MacBook,success,103.23.77.91
2026-02-18T11:02:00Z,user_003,Singapore,MacBook,success,103.23.77.91
